ordinal	row_key	catalog_source	catalog_key	deployed	name	example	dataset	formula	family_explicit	family_description_claim	claimed_source_url	dataset_source_urls	source_file	hidden_claim	verified_claim	description
76	bambi/hsgp_2d_aniso	bambi	hsgp_2d_aniso	true	HSGP 2D — Anisotropic	hsgp_2d	hsgp_2d	outcome ~ 0 + hsgp(x, y, c=1.5, m=10, iso=False)		gaussian	https://bambinos.github.io/bambi/notebooks/hsgp_2d.html	synthetic	bambi.jl			Anisotropic 2D HSGP allowing different length scales per dimension. Family: gaussian.
77	bambi/hsgp_2d_poisson	bambi	hsgp_2d_poisson	true	HSGP 2D — Spatial Poisson Count Data	hsgp_2d	poisson_data	Count ~ 0 + Year + X1:Year + (1|Site) + hsgp(Lon, Lat, by=Year, m=5, c=1.5)		poisson	https://bambinos.github.io/bambi/notebooks/hsgp_2d.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/poisson_data.csv	bambi.jl			Poisson regression combining fixed effects, random site intercepts, and a 2D spatial HSGP term varying by year. Family: poisson.
78	bambi/survival_intercept	bambi	survival_intercept	true	Survival Model — Intercept Only	survival_model	survival_model	censored(days_to_event / 31, adopt) ~ 1		exponential,	https://bambinos.github.io/bambi/notebooks/survival_model.html	https://raw.githubusercontent.com/rmcelreath/rethinking/master/data/AustinCats.csv	bambi.jl			"Exponential survival model with only an intercept (constant hazard). Family: exponential, link=""log""."
79	bambi/survival_color	bambi	survival_color	true	Survival Model — Color Effect	survival_model	survival_model	censored(days_to_event / 31, adopt) ~ 0 + color_id		"exponential, link=""log"""	https://bambinos.github.io/bambi/notebooks/survival_model.html	https://raw.githubusercontent.com/rmcelreath/rethinking/master/data/AustinCats.csv	bambi.jl			"Exponential survival model with cat color as a predictor. Family: exponential, link=""log""."
80	bambi/survival_disc_sim	bambi	survival_disc_sim	true	Discrete Time Survival — Simulated Data	survival_discrete_time	survival_discrete_time	event ~ treatment + age + time		"bernoulli, link=""cloglog"""	https://bambinos.github.io/bambi/notebooks/survival_discrete_time_notebook.html	synthetic	bambi.jl			"Bernoulli survival model with complementary log-log link on synthetic discrete-time data. Family: bernoulli, link=""cloglog""."
81	bambi/survival_disc_binomial	bambi	survival_disc_binomial	true	Discrete Time Survival — Binomial Child Mortality	survival_discrete_time	child_mortality	p(events, at_risk) ~ sex + socBranch + period + scale(birth_decade)		"binomial, link=""cloglog"""	https://bambinos.github.io/bambi/notebooks/survival_discrete_time_notebook.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/child.csv	bambi.jl			"Binomial discrete-time survival model on Swedish child mortality data. Family: binomial, link=""cloglog""."
82	bambi/survival_disc_spline	bambi	survival_disc_spline	true	Discrete Time Survival — Spline Baseline Hazard	survival_discrete_time	child_mortality	p(events, at_risk) ~ sex + socBranch + bs(period, df=4) + scale(birth_decade)		"binomial, link=""cloglog"""	https://bambinos.github.io/bambi/notebooks/survival_discrete_time_notebook.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/child.csv	bambi.jl			"Binomial discrete-time survival with spline baseline hazard. Family: binomial, link=""cloglog""."
83	bambi/survival_disc_poisson	bambi	survival_disc_poisson	true	Discrete Time Survival — Poisson Alternative	survival_discrete_time	child_mortality	events ~ sex + socBranch + period + scale(birth_decade) + offset(log(at_risk))		poisson	https://bambinos.github.io/bambi/notebooks/survival_discrete_time_notebook.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/child.csv	bambi.jl			Poisson formulation of discrete-time survival with log-offset for person-time. Family: poisson.
84	bambi/survival_cont_weibull	bambi	survival_cont_weibull	true	Continuous Time Survival — Weibull	survival_continuous_time	survival_continuous_time	censored(time, censoring) ~ treatment + age		weibull	https://bambinos.github.io/bambi/notebooks/survival_continuous_time_notebook.html	synthetic	bambi.jl			Weibull survival model on synthetic data with treatment and age effects. Family: weibull.
85	bambi/survival_cont_retention_fe	bambi	survival_cont_retention_fe	true	Continuous Time Survival — Retention Fixed Effects	survival_continuous_time	retention	censored(month, censoring) ~ C(gender) + C(level) + C(field) + sentiment + intention		weibull	https://bambinos.github.io/bambi/notebooks/survival_continuous_time_notebook.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/retention.csv	bambi.jl			Weibull survival model of employee tenure with fixed effects only. Family: weibull.
86	bambi/survival_cont_retention_re	bambi	survival_cont_retention_re	true	Continuous Time Survival — Retention Random Effects	survival_continuous_time	retention	censored(month, censoring) ~ C(gender) + C(level) + sentiment + intention + (1|field)		weibull	https://bambinos.github.io/bambi/notebooks/survival_continuous_time_notebook.html	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/retention.csv	bambi.jl			Weibull survival model of employee tenure with random intercepts for field. Family: weibull.
87	bambi/orthopoly_explicit	bambi	orthopoly_explicit	true	Orthogonal Polynomial — Explicit Quadratic	orthogonal_polynomial	orthopoly_projectile	x ~ I(t**2) + t + 1		gaussian	https://bambinos.github.io/bambi/notebooks/orthogonal_polynomial_reg.html	synthetic	bambi.jl			Explicit (raw) quadratic polynomial on projectile data. Family: gaussian.
88	bambi/orthopoly_poly	bambi	orthopoly_poly	true	Orthogonal Polynomial — poly() Degree 2	orthogonal_polynomial	orthopoly_projectile	x ~ poly(t, 2) + 1		gaussian	https://bambinos.github.io/bambi/notebooks/orthogonal_polynomial_reg.html	synthetic	bambi.jl			Orthogonal polynomial degree 2 on projectile data. Family: gaussian.
89	bambi/orthopoly_linear	bambi	orthopoly_linear	true	Orthogonal Polynomial — MPG Linear	orthogonal_polynomial	orthogonal_polynomial	mpg ~ horsepower		gaussian	https://bambinos.github.io/bambi/notebooks/orthogonal_polynomial_reg.html	https://raw.githubusercontent.com/mwaskom/seaborn-data/master/mpg.csv	bambi.jl			Linear regression of fuel efficiency on horsepower; baseline model. Family: gaussian.
90	bambi/orthopoly_quad	bambi	orthopoly_quad	true	Orthogonal Polynomial — MPG Quadratic	orthogonal_polynomial	orthogonal_polynomial	mpg ~ poly(horsepower, 2)		gaussian	https://bambinos.github.io/bambi/notebooks/orthogonal_polynomial_reg.html	https://raw.githubusercontent.com/mwaskom/seaborn-data/master/mpg.csv	bambi.jl			Orthogonal polynomial degree 2 regression of mpg on horsepower. Family: gaussian.
91	bambi/orthopoly_compare	bambi	orthopoly_compare	true	Orthogonal Polynomial — MPG Degree Comparison	orthogonal_polynomial	orthogonal_polynomial	mpg ~ poly(horsepower, degree)		gaussian	https://bambinos.github.io/bambi/notebooks/orthogonal_polynomial_reg.html	https://raw.githubusercontent.com/mwaskom/seaborn-data/master/mpg.csv	bambi.jl			Orthogonal polynomial regression template for degree ∈ 1:9; used for model comparison. Family: gaussian.
92	bambi/plot_pred_linear	bambi	plot_pred_linear	true	Plot Predictions — Linear Regression (mtcars)	plot_predictions	plot_predictions	mpg ~ 0 + hp * wt + cyl + gear		gaussian	https://bambinos.github.io/bambi/notebooks/plot_predictions.html	https://ndownloader.figshare.com/files/40208785	bambi.jl			Linear regression of fuel efficiency on horsepower, weight, cylinders and gear. Family: gaussian.
93	bambi/plot_pred_nb	bambi	plot_pred_nb	true	Plot Predictions — Negative Binomial (Student Absences)	plot_predictions	negative_binomial	daysabs ~ 0 + prog + scale(math) + prog:scale(math)		negativebinomial	https://bambinos.github.io/bambi/notebooks/plot_predictions.html	https://stats.idre.ucla.edu/stat/stata/dae/nb_data.dta	bambi.jl			Negative binomial regression of student absences; dataset requires Stata loading (see :negative_binomial). Placeholder DataFrame() used here. Family: negativebinomial.
94	bambi/plot_pred_logistic	bambi	plot_pred_logistic	true	Plot Predictions — Logistic Regression (Movies)	plot_predictions	plot_pred_movies	certified_fresh ~ 0 + scale(length) * style		bernoulli	https://bambinos.github.io/bambi/notebooks/plot_predictions.html	https://vincentarelbundock.github.io/Rdatasets/csv/ggplot2movies/movies.csv	bambi.jl			"Logistic regression of ""certified fresh"" rating on film length and genre style. Family: bernoulli."
95	bambi/plot_pred_distr	bambi	plot_pred_distr	true	Plot Predictions — Distributional Gamma	plot_predictions	distributional_synth	y ~ x  +  alpha ~ x		gamma	https://bambinos.github.io/bambi/notebooks/plot_predictions.html	synthetic	bambi.jl			Distributional gamma regression on synthetic data; same model as :distributional_var_alpha. Family: gamma.
96	bambi/plot_comp_zip	bambi	plot_comp_zip	true	Plot Comparisons — ZIP Fish Count	plot_comparisons	plot_comparisons	count ~ livebait + camper + persons + child		zero_inflated_poisson	https://bambinos.github.io/bambi/notebooks/plot_comparisons.html	https://stats.idre.ucla.edu/stat/data/fish.csv	bambi.jl			Zero-inflated Poisson model of fish catch count. Family: zero_inflated_poisson.
97	bambi/plot_comp_logistic	bambi	plot_comp_logistic	true	Plot Comparisons — Logistic Titanic Survival	plot_comparisons	titanic	Survived ~ PClass * SexCode * Age		bernoulli	https://bambinos.github.io/bambi/notebooks/plot_comparisons.html	https://vincentarelbundock.github.io/Rdatasets/csv/Stat2Data/Titanic.csv	bambi.jl			Logistic regression of Titanic survival on passenger class, sex and age with interactions. Family: bernoulli.
98	bambi/plot_slopes_main	bambi	plot_slopes_main	true	Plot Slopes — Main Effects	plot_slopes	plot_slopes	switch ~ dist100 + arsenic + educ4		bernoulli	https://bambinos.github.io/bambi/notebooks/plot_slopes.html	https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wells.csv	bambi.jl			Logistic regression of well-switching on distance, arsenic level and education. Family: bernoulli.
99	bambi/plot_slopes_interaction	bambi	plot_slopes_interaction	true	Plot Slopes — With Interactions	plot_slopes	plot_slopes	switch ~ dist100 + arsenic + educ4 + dist100:educ4 + arsenic:educ4		bernoulli	https://bambinos.github.io/bambi/notebooks/plot_slopes.html	https://vincentarelbundock.github.io/Rdatasets/csv/carData/Wells.csv	bambi.jl			Logistic regression adding education interaction terms with distance and arsenic. Family: bernoulli.
100	bambi/alternative_samplers	bambi	alternative_samplers	true	Using Other Samplers — JAX-Based Samplers	alternative_samplers	alternative_samplers	y ~ x		gaussian	https://bambinos.github.io/bambi/notebooks/alternative_samplers.html	synthetic	bambi.jl			Linear regression on synthetic data; demonstrates blackjax, numpyro and nutpie backends. Family: gaussian.
101	brms/cbpp_binomial	brms	cbpp_binomial	true	Custom Families — Standard Binomial GLMM	cbpp	cbpp	incidence | trials(size) ~ period + (1|herd)			https://paulbuerkner.com/brms/articles/brms_customfamilies.html	https://vincentarelbundock.github.io/Rdatasets/csv/lme4/cbpp.csv	brms.jl			Standard binomial GLMM for contagious bovine pleuropneumonia incidence across 4 periods.
102	brms/cbpp_beta_binomial	brms	cbpp_beta_binomial	true	Custom Families — Beta-Binomial GLMM	cbpp	cbpp	incidence | vint(size) ~ period + (1|herd)			https://paulbuerkner.com/brms/articles/brms_customfamilies.html	https://vincentarelbundock.github.io/Rdatasets/csv/lme4/cbpp.csv	brms.jl			Custom `beta_binomial2` family; `vint` passes integer auxiliary data (herd size) to the custom family. Accounts for extra-binomial overdispersion.
103	brms/distreg_normal	brms	distreg_normal	true	Distributional Regression — Location-Scale Normal	distreg	distreg_dat1	bf(symptom_post ~ group, sigma ~ group)			https://paulbuerkner.com/brms/articles/brms_distreg.html	synthetic	brms.jl			Distributional model for both mean and log(sigma) as functions of group; demonstrates that the two groups differ in both location and scale.
104	brms/distreg_nb	brms	distreg_nb	true	Distributional Regression — Negative Binomial Counts	distreg	distreg_fish	count ~ persons + child + camper			https://paulbuerkner.com/brms/articles/brms_distreg.html	http://paulbuerkner.com/data/fish.csv	brms.jl			Negative binomial model for fishing trip catch counts; no zero-inflation component.
105	brms/distreg_zip	brms	distreg_zip	true	Distributional Regression — Zero-Inflated Poisson	distreg	distreg_fish	bf(count ~ persons + child + camper, zi ~ child)			https://paulbuerkner.com/brms/articles/brms_distreg.html	http://paulbuerkner.com/data/fish.csv	brms.jl			Zero-inflated Poisson; `zi` sub-model predicts structural-zero probability from `child`.
106	brms/distreg_gam	brms	distreg_gam	true	Distributional Regression — Smooth GAM	distreg	distreg_gam	bf(y ~ s(x1) + s(x2) + (1|fac), sigma ~ s(x0) + (1|fac))			https://paulbuerkner.com/brms/articles/brms_distreg.html	synthetic	brms.jl			Both mean and log(sigma) modeled as smooth splines; shared random group effects.
107	brms/nhanes_imputed	brms	nhanes_imputed	true	Handle Missing Values — Multiple Imputation	nhanes	nhanes	bmi ~ age * chl			https://paulbuerkner.com/brms/articles/brms_missings.html	https://vincentarelbundock.github.io/Rdatasets/csv/mice/nhanes.csv	brms.jl			Fit to multiply-imputed datasets via `brm_multiple`; standard regression template on complete cases from each imputed dataset.
108	brms/nhanes_joint	brms	nhanes_joint	true	Handle Missing Values — Joint Imputation Model	nhanes	nhanes	bf(bmi | mi() ~ age * mi(chl)) + bf(chl | mi() ~ age) + set_rescor(FALSE)			https://paulbuerkner.com/brms/articles/brms_missings.html	https://vincentarelbundock.github.io/Rdatasets/csv/mice/nhanes.csv	brms.jl			Joint model: simultaneously imputes `chl` while modelling `bmi`; `mi()` marks imputed variables; `set_rescor(FALSE)` removes residual correlations between equations.
109	brms/nhanes_error	brms	nhanes_error	true	Handle Missing Values — Measurement Error Variant	nhanes	nhanes	bf(bmi | mi() ~ age * mi(chl)) + bf(chl | mi(se = se_chl) ~ age) + set_rescor(FALSE)			https://paulbuerkner.com/brms/articles/brms_missings.html	https://vincentarelbundock.github.io/Rdatasets/csv/mice/nhanes.csv	brms.jl			Variant: `chl` measured with known standard error `se_chl`; propagates measurement uncertainty into the joint imputation model.
110	brms/income_mo	brms	income_mo	true	Monotonic Effects — Main Effect	income	income	ls ~ mo(income)			https://paulbuerkner.com/brms/articles/brms_monotonic.html	synthetic	brms.jl			Monotonic main effect of ordered income; `mo()` constrains the response to be monotonically increasing or decreasing across ordered categories.
111	brms/income_num	brms	income_num	true	Monotonic Effects — Numeric Comparison	income	income	ls ~ income_num			https://paulbuerkner.com/brms/articles/brms_monotonic.html	synthetic	brms.jl			Comparison: standard numeric predictor, ignoring the ordinal structure of income.
112	brms/income_nominal	brms	income_nominal	true	Monotonic Effects — Nominal Factor Comparison	income	income	ls ~ income			https://paulbuerkner.com/brms/articles/brms_monotonic.html	synthetic	brms.jl			Comparison: unordered factor coding, ignores both ordinal structure and monotonicity.
113	brms/income_mo_age	brms	income_mo_age	true	Monotonic Effects — Interaction with Age	income	income	ls ~ mo(income) * age			https://paulbuerkner.com/brms/articles/brms_monotonic.html	synthetic	brms.jl			Interaction of monotonic income effect with age group.
114	brms/income_mo_city	brms	income_mo_city	true	Monotonic Effects — City-Level Random Slopes	income	income	ls ~ mo(income) * age + (mo(income) | city)			https://paulbuerkner.com/brms/articles/brms_monotonic.html	synthetic	brms.jl			Adds city-level random slopes for the monotonic income effect.
115	brms/btdata_compact	brms	btdata_compact	true	Multivariate Models — Compact mvbind Syntax	btdata	btdata	bf(mvbind(tarsus, back) ~ sex + hatchdate + (1|p|fosternest) + (1|q|dam)) + set_rescor(TRUE)			https://paulbuerkner.com/brms/articles/brms_multivariate.html	https://vincentarelbundock.github.io/Rdatasets/csv/MCMCglmm/BTdata.csv	brms.jl			Compact syntax: one formula for both responses; correlated random effects via shared labels `p` and `q`; `set_rescor(TRUE)` adds residual correlations.
116	brms/btdata_explicit	brms	btdata_explicit	true	Multivariate Models — Explicit Separate Formulas	btdata	btdata	bf(tarsus ~ sex + hatchdate + (1|p|fosternest) + (1|q|dam)) + bf(back ~ sex + hatchdate + (1|p|fosternest) + (1|q|dam)) + set_rescor(TRUE)			https://paulbuerkner.com/brms/articles/brms_multivariate.html	https://vincentarelbundock.github.io/Rdatasets/csv/MCMCglmm/BTdata.csv	brms.jl			Equivalent explicit syntax with separate `bf()` per response; same model as `:btdata_compact` but with individually specified sub-formulas.
117	brms/btdata_spline	brms	btdata_spline	true	Multivariate Models — Skew-Normal with Splines	btdata	btdata	bf(tarsus ~ sex + s(hatchdate, k=5) + (1|p|fosternest) + (1|q|dam), family = skew_normal()) + bf(back ~ sex + s(hatchdate, k=5) + (1|p|fosternest) + (1|q|dam)) + set_rescor(TRUE)			https://paulbuerkner.com/brms/articles/brms_multivariate.html	https://vincentarelbundock.github.io/Rdatasets/csv/MCMCglmm/BTdata.csv	brms.jl			Extended model: skew-normal family for `tarsus`, smooth spline for `hatchdate` in both sub-models.
118	brms/nonlinear_exp	brms	nonlinear_exp	true	Nonlinear Models — Exponential Decay	nonlinear	nonlinear_dat	bf(y ~ b1 * exp(b2 * x), b1 + b2 ~ 1, nl = TRUE)			https://paulbuerkner.com/brms/articles/brms_nonlinear.html	synthetic	brms.jl			Nonlinear exponential model; `nl=TRUE` enables custom nonlinear predictors; `b1 + b2 ~ 1` declares both as intercept-only submodels.
119	brms/nonlinear_linear	brms	nonlinear_linear	true	Nonlinear Models — Linear Comparison	nonlinear	nonlinear_dat	y ~ x			https://paulbuerkner.com/brms/articles/brms_nonlinear.html	synthetic	brms.jl			Standard linear model on the same exponential-decay data; baseline comparison.
120	brms/nonlinear_loss	brms	nonlinear_loss	true	Nonlinear Models — Weibull Loss Development	nonlinear	loss	bf(cum ~ ult * (1 - exp(-(dev/theta)^omega)), ult ~ 1 + (1|AY), omega ~ 1, theta ~ 1, nl = TRUE)			https://paulbuerkner.com/brms/articles/brms_nonlinear.html	synthetic	brms.jl			Nonlinear Weibull loss development curve; `ult` (ultimate loss) varies by accident year; `omega` = shape, `theta` = scale.
121	brms/phylo_simple_re	brms	phylo_simple_re	true	Phylogenetic Models — Simple Random Effect	phylogenetics	phylo_simple	phen ~ cofactor + (1|gr(phylo, cov = A))			https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	http://paulbuerkner.com/data/data_simple.txt	brms.jl			Phylogenetic random effect only; `A` is the phylogenetic covariance matrix.
122	brms/phylo_simple_resid	brms	phylo_simple_resid	true	Phylogenetic Models — Additional Residual Effect	phylogenetics	phylo_simple	phen ~ cofactor + (1|gr(phylo, cov = A)) + (1|phylo)			https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	http://paulbuerkner.com/data/data_simple.txt	brms.jl			Adds a species-level residual random effect on top of the phylogenetic effect; `(1|phylo)` captures species-specific deviations not explained by phylogeny.
123	brms/phylo_repeat_re	brms	phylo_repeat_re	true	Phylogenetic Models — Repeated Observations	phylogenetics	phylo_repeat	phen ~ cofactor + (1|gr(phylo, cov = A)) + (1|species)			https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	http://paulbuerkner.com/data/data_repeat.txt	brms.jl			Phylogenetic effect plus within-species random effect for 5 repeated observations per species.
124	brms/phylo_effect	brms	phylo_effect	true	Phylogenetic Models — Meta-Analysis	phylogenetics	phylo_effect	Zr | se(sqrt(1/(N-3))) ~ 1 + (1|gr(phylo, cov = A))			https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	http://paulbuerkner.com/data/data_effect.txt	brms.jl			Meta-analytic model; known SE derived from `N`; `se()` passes known measurement error; random study intercept captures between-species heterogeneity.
125	brms/phylo_pois	brms	phylo_pois	true	Phylogenetic Models — Poisson Family	phylogenetics	phylo_pois	phen_pois ~ cofactor + (1|gr(phylo, cov = A))			https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	http://paulbuerkner.com/data/data_pois.txt	brms.jl			Poisson GLMM with phylogenetic random effect; models count phenotype data.
126	mcelreath/globe	mcelreath	globe	true	Globe Tossing	globe	globe	w | trials(n) ~ 0 + Intercept			synthetic	synthetic	mcelreath.jl			"Binomial likelihood for estimating p(water) from a globe-tossing experiment. `family = binomial(link = ""identity"")`; `0 + Intercept` fixes the link to identity, estimating `p` directly."
127	mcelreath/howell1_intercept	mcelreath	howell1_intercept	true	Heights and Weights — Intercept Only	howell1	howell1	height ~ 1			https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	mcelreath.jl			Intercept-only Gaussian regression on adult heights (age >= 18, n=352). Used as a prior predictive / baseline model.
128	mcelreath/howell1_linear	mcelreath	howell1_linear	true	Heights and Weights — Linear Regression	howell1	howell1	height ~ 1 + weight_c			https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	mcelreath.jl			Simple linear regression of height on mean-centered weight in adults (age >= 18). `weight_c = weight - mean(weight)`.
129	mcelreath/howell1_quad	mcelreath	howell1_quad	true	Heights and Weights — Quadratic Polynomial	howell1	howell1	height ~ 1 + weight_s + weight_s2			https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	mcelreath.jl			Quadratic polynomial regression of height on standardized weight using the full dataset (all ages). `weight_s` = standardized weight, `weight_s2 = weight_s^2`.
130	mcelreath/howell1_cubic	mcelreath	howell1_cubic	true	Heights and Weights — Cubic Polynomial	howell1	howell1	height ~ 1 + weight_s + weight_s2 + weight_s3			https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	mcelreath.jl			Cubic polynomial regression of height on standardized weight using the full dataset (all ages). `weight_s3 = weight_s^3`.
131	mcelreath/howell1_nl	mcelreath	howell1_nl	true	Heights and Weights — Nonlinear Exponential Growth	howell1	howell1	bf(height ~ a + exp(lb) * weight_c, a ~ 1, lb ~ 1, nl = TRUE)			https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	mcelreath.jl			Nonlinear exponential growth model for height on mean-centered weight in adults (age >= 18). `weight_c = weight - mean(weight)`.
132	mcelreath/howell1_volume	mcelreath	howell1_volume	true	Heights and Weights — Nonlinear Volume Model	howell1	howell1	bf(w ~ log(3.141593 * k * p^2 * h^3), k + p ~ 1, nl = TRUE)			https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	https://github.com/rmcelreath/rethinking/blob/master/data/Howell1.csv	mcelreath.jl			Lognormal nonlinear model treating body weight as a scaled cylinder. `w` = weight, `h` = height. Models body weight as a scaled cylinder volume.
133	mcelreath/cherry_blossoms	mcelreath	cherry_blossoms	true	Cherry Blossoms — B-Spline Regression	cherry_blossoms	cherry_blossoms	doy ~ 1 + B			https://github.com/rmcelreath/rethinking/blob/master/data/cherry_blossoms.csv	https://github.com/rmcelreath/rethinking/blob/master/data/cherry_blossoms.csv	mcelreath.jl			`B` is a B-spline basis matrix (each column is a basis function); constructed via `bs(year, knots=iknots)` in R with ~17 basis columns.
134	mcelreath/waffle_divorce_a	mcelreath	waffle_divorce_a	true	Waffle Divorce — Age Predicts Divorce	waffle_divorce	waffle_divorce	D ~ 1 + A			https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	mcelreath.jl			Simple regression of standardized divorce rate on standardized median age at marriage. `D` = standardized Divorce, `A` = standardized MedianAgeMarriage.
135	mcelreath/waffle_divorce_m	mcelreath	waffle_divorce_m	true	Waffle Divorce — Marriage Rate Predicts Divorce	waffle_divorce	waffle_divorce	D ~ 1 + M			https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	mcelreath.jl			Simple regression of standardized divorce rate on standardized marriage rate. `D` = standardized Divorce, `M` = standardized Marriage.
136	mcelreath/waffle_divorce_am	mcelreath	waffle_divorce_am	true	Waffle Divorce — Multiple Regression (M's effect vanishes)	waffle_divorce	waffle_divorce	D ~ 1 + M + A			https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	mcelreath.jl			Multiple regression; M's effect vanishes after conditioning on A, revealing a spurious association between marriage rate and divorce.
137	mcelreath/waffle_divorce_mediator	mcelreath	waffle_divorce_mediator	true	Waffle Divorce — Mediator Regression (A predicts M)	waffle_divorce	waffle_divorce	M ~ 1 + A			https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	mcelreath.jl			Mediator regression: age at marriage predicts marriage rate. Part of the causal model where A -> M -> D and A -> D.
138	mcelreath/waffle_divorce_multivariate	mcelreath	waffle_divorce_multivariate	true	Waffle Divorce — Multivariate Simultaneous Causal Model	waffle_divorce	waffle_divorce	bf(D ~ 1 + M + A) + bf(M ~ 1 + A) + set_rescor(FALSE)			https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	mcelreath.jl			Multivariate brms model; simultaneous causal model for D and M with residual correlation disabled via `set_rescor(FALSE)`.
139	mcelreath/waffle_divorce_meas_err	mcelreath	waffle_divorce_meas_err	true	Waffle Divorce — Measurement Error Model	waffle_divorce	waffle_divorce	D_obs | mi(D_sd) ~ 1 + A + M			https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	https://github.com/rmcelreath/rethinking/blob/master/data/WaffleDivorce.csv	mcelreath.jl			Measurement error model from Ch 15; `D_sd` is the known standard error of the divorce estimate (approximated as 0.1 * |D| + 0.01). `D_obs` is the noisy observation.
140	mcelreath/milk_neo	mcelreath	milk_neo	true	Milk Energy — Neocortex Predictor	milk	milk	kcal_s ~ 1 + neo_s			https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	mcelreath.jl			Positive association between neocortex percentage and kcal per gram before controlling for body mass. Uses complete cases (n=12) with non-missing neocortex.perc.
141	mcelreath/milk_mass	mcelreath	milk_mass	true	Milk Energy — Log Body Mass Predictor	milk	milk	kcal_s ~ 1 + logmass_s			https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	mcelreath.jl			Negative association; larger species produce less calorie-dense milk. Uses complete cases (n=12) with non-missing neocortex.perc.
142	mcelreath/milk_both	mcelreath	milk_both	true	Milk Energy — Neocortex and Mass (Masked Association)	milk	milk	kcal_s ~ 1 + neo_s + logmass_s			https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	mcelreath.jl			Both effects revealed simultaneously — the masked association. Uses complete cases (n=12) with non-missing neocortex.perc.
143	mcelreath/milk_clade	mcelreath	milk_clade	true	Milk Energy — Clade Index Model	milk	milk	kcal_s ~ 0 + clade			https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	mcelreath.jl			Clade index model with one intercept per primate clade, no overall intercept. Uses complete cases (n=12) with non-missing neocortex.perc.
144	mcelreath/milk_mi	mcelreath	milk_mi	true	Milk Energy — Joint Missing-Data Model	milk	milk	bf(k ~ 1 + mi(b) + m) + bf(b | mi() ~ 1) + set_rescor(FALSE)			https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	https://github.com/rmcelreath/rethinking/blob/master/data/milk.csv	mcelreath.jl			Joint missing-data model from Ch 15; `b` = neocortex.perc with missing values treated as partially observed. Uses the full dataset (all 29 species, including those with missing neocortex data).
145	mcelreath/plant_growth_baseline	mcelreath	plant_growth_baseline	true	Plant Growth — Baseline (No Treatment Effect)	plant_growth	plant_growth	h1 ~ 0 + h0			synthetic	synthetic	mcelreath.jl			Baseline model with no treatment effect. Growth proportional to initial height.
146	mcelreath/plant_growth_biased	mcelreath	plant_growth_biased	true	Plant Growth — Post-Treatment Bias	plant_growth	plant_growth	bf(h1 ~ h0 * (a + t * treatment + f * fungus), a + t + f ~ 1, nl = TRUE)			synthetic	synthetic	mcelreath.jl			Post-treatment bias: treatment effect absorbed by conditioning on fungus (a mediator). Including fungus blocks the path from treatment to h1.
