row_key	recovered_family	evidence_class	evidence_strength	authoritative_surface	authoritative_revision	authoritative_path_anchor	retrieved_at_utc	http_status	explicit_evidence	semantic_evidence	dataset_evidence	negative_evidence	decision_rationale
mcelreath:waffle_divorce_meas_err	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	15.qmd#L306-L348	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:319 returns 'D_obs | mi(D_sd) ~ 1 + A + M' with no family. The book gives D_obs,i ~ Normal(D_true,i,D_SE,i) and D_true,i ~ Normal(mu_i,sigma), then fits D_obs | mi(D_sd) with family = gaussian.	Historical BRM formula is 'D_obs | mi(D_sd) ~ 1 + A + M'. Authoritative formula/likelihood at 15.qmd#L306-L348 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM starts from WaffleDivorce.csv but replaces its published Divorce SE with D_sd=0.1*abs(D)+0.01 and simulates D_obs using MersenneTwister(15). The authoritative chapter derives D_obs and D_sd from the observed Divorce and Divorce SE columns. Thus schema D_obs,D_sd,A,M matches while the BRM uncertainty values are synthetic drift.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:319, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type. The BRM response-error values are synthetic and do not reproduce the authoritative WaffleDivorce measurement-error inputs.	Recover the two Gaussian layers while retaining the known-SD measurement-error/latent-response semantics; this is not merely an ordinary Gaussian regression.
mcelreath:milk_neo	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L1257-L1265;05.qmd#L1326-L1334	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:354 returns 'kcal_s ~ 1 + neo_s' with no family. Both draft and complete-case neocortex models explicitly set family = gaussian.	Historical BRM formula is 'kcal_s ~ 1 + neo_s'. Authoritative formula/likelihood at 05.qmd#L1257-L1265;05.qmd#L1326-L1334 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is milk.csv and derives standardized kcal, neocortex and log-mass columns. Upstream has 29 rows and schema clade,species,kcal.per.g,perc.fat,perc.protein,perc.lactose,mass,neocortex.perc; first kcal/mass/neocortex values are 0.49,1.95,55.16.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:354, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:milk_mass	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L1449-L1457	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:381 returns 'kcal_s ~ 1 + logmass_s' with no family. Matching log-mass model explicitly sets family = gaussian.	Historical BRM formula is 'kcal_s ~ 1 + logmass_s'. Authoritative formula/likelihood at 05.qmd#L1449-L1457 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is milk.csv and derives standardized kcal, neocortex and log-mass columns. Upstream has 29 rows and schema clade,species,kcal.per.g,perc.fat,perc.protein,perc.lactose,mass,neocortex.perc; first kcal/mass/neocortex values are 0.49,1.95,55.16.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:381, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:milk_both	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L1504-L1522	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:408 returns 'kcal_s ~ 1 + neo_s + logmass_s' with no family. The book states kcal.per.g_s_i ~ Normal(mu_i,sigma) and the matching two-predictor brm explicitly sets family = gaussian.	Historical BRM formula is 'kcal_s ~ 1 + neo_s + logmass_s'. Authoritative formula/likelihood at 05.qmd#L1504-L1522 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is milk.csv and derives standardized kcal, neocortex and log-mass columns. Upstream has 29 rows and schema clade,species,kcal.per.g,perc.fat,perc.protein,perc.lactose,mass,neocortex.perc; first kcal/mass/neocortex values are 0.49,1.95,55.16.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:408, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:milk_clade	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	05.qmd#L2054-L2069	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:435 returns 'kcal_s ~ 0 + clade' with no family. The clade index model states a Normal likelihood and explicitly sets family = gaussian.	Historical BRM formula is 'kcal_s ~ 0 + clade'. Authoritative formula/likelihood at 05.qmd#L2054-L2069 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is milk.csv and derives standardized kcal, neocortex and log-mass columns. Upstream has 29 rows and schema clade,species,kcal.per.g,perc.fat,perc.protein,perc.lactose,mass,neocortex.perc; first kcal/mass/neocortex values are 0.49,1.95,55.16.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:435, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:milk_mi	multivariate_gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	15.qmd#L1234-L1271	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:462 returns 'bf(k ~ 1 + mi(b) + m) + bf(b | mi() ~ 1) + set_rescor(FALSE)' with no family. The book states K_i ~ Normal(mu_i,sigma) and B_i ~ Normal(nu,sigma_B), defines bf(k ~ 1 + mi(b) + m) plus bf(b | mi() ~ 1), sets rescor(FALSE), and passes family = gaussian.	Historical BRM formula is 'bf(k ~ 1 + mi(b) + m) + bf(b | mi() ~ 1) + set_rescor(FALSE)'. Authoritative formula/likelihood at 15.qmd#L1234-L1271 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is milk.csv and derives standardized kcal, neocortex and log-mass columns. Upstream has 29 rows and schema clade,species,kcal.per.g,perc.fat,perc.protein,perc.lactose,mass,neocortex.perc; first kcal/mass/neocortex values are 0.49,1.95,55.16.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:462, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	Recover Gaussian for both modeled marginals while preserving the joint missing-data and fixed-zero residual-correlation structure.
mcelreath:plant_growth_baseline	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	06.qmd#L658-L673	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:514 returns 'h1 ~ 0 + h0' with no family. The baseline growth model states h1_i ~ Normal(mu_i,sigma) and explicitly sets family = gaussian.	Historical BRM formula is 'h1 ~ 0 + h0'. Authoritative formula/likelihood at 06.qmd#L658-L673 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM constructs 200 rows with MersenneTwister(6), schema h0,h1,treatment,fungus and h1=h0*(1.5-0.2*fungus+0.05*noise). The authoritative chapter also simulates h0,treatment,fungus,h1, but exact RNG/sample values drift; this supports the formula crosswalk only.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:514, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:plant_growth_biased	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	06.qmd#L687-L718	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:530 returns 'bf(h1 ~ h0 * (a + t * treatment + f * fungus), a + t + f ~ 1, nl = TRUE)' with no family. The post-treatment nonlinear growth model states a Normal likelihood and explicitly sets family = gaussian.	Historical BRM formula is 'bf(h1 ~ h0 * (a + t * treatment + f * fungus), a + t + f ~ 1, nl = TRUE)'. Authoritative formula/likelihood at 06.qmd#L687-L718 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM constructs 200 rows with MersenneTwister(6), schema h0,h1,treatment,fungus and h1=h0*(1.5-0.2*fungus+0.05*noise). The authoritative chapter also simulates h0,treatment,fungus,h1, but exact RNG/sample values drift; this supports the formula crosswalk only.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:530, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:plant_growth_causal	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	06.qmd#L744-L762	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:547 returns 'bf(h1 ~ h0 * (a + t * treatment), a + t ~ 1, nl = TRUE)' with no family. The causal nonlinear growth model states a Normal likelihood and explicitly sets family = gaussian.	Historical BRM formula is 'bf(h1 ~ h0 * (a + t * treatment), a + t ~ 1, nl = TRUE)'. Authoritative formula/likelihood at 06.qmd#L744-L762 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM constructs 200 rows with MersenneTwister(6), schema h0,h1,treatment,fungus and h1=h0*(1.5-0.2*fungus+0.05*noise). The authoritative chapter also simulates h0,treatment,fungus,h1, but exact RNG/sample values drift; this supports the formula crosswalk only.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:547, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:happiness_collider	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	06.qmd#L1099-L1138	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:594 returns 'happiness ~ 0 + mid + a' with no family. The book states happiness_i ~ Normal(mu_i,sigma) and the collider model explicitly sets family = gaussian.	Historical BRM formula is 'happiness ~ 0 + mid + a'. Authoritative formula/likelihood at 06.qmd#L1099-L1138 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM constructs age,happiness,married then a=(age-18)/47 and mid=married+1 with MersenneTwister(6). Authoritative sim_happiness semantics use the same variables/collider setup, but BRM sample construction and values are not an exact copy.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:594, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:happiness_causal	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	06.qmd#L1149-L1158	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:611 returns 'happiness ~ 0 + Intercept + a' with no family. The no-marriage-index causal model explicitly sets family = gaussian.	Historical BRM formula is 'happiness ~ 0 + Intercept + a'. Authoritative formula/likelihood at 06.qmd#L1149-L1158 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM constructs age,happiness,married then a=(age-18)/47 and mid=married+1 with MersenneTwister(6). Authoritative sim_happiness semantics use the same variables/collider setup, but BRM sample construction and values are not an exact copy.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:611, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:rugged_pooled	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	13cf9f7c84a84a04de9225c7195e59f00ef4ccc9	08.Rmd#L195-L203	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:640 returns 'log_gdp_std ~ 1 + rugged_std_c' with no family. The pre-Quarto historical book revision contains the exact pooled formula and explicitly sets family = gaussian.	Historical BRM formula is 'log_gdp_std ~ 1 + rugged_std_c'. Authoritative formula/likelihood at 08.Rmd#L195-L203 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is rugged.csv, drops missing rgdppc_2000, and derives log_gdp_std,rugged_std_c,cid. Upstream raw schema includes country,rugged,rgdppc_2000,cont_africa; Afghanistan begins rugged=2.518, rgdppc_2000=644.756, cont_africa=0.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:640, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type. Current 09.qmd skips this component fit and proceeds to a later nonlinear model; git history recovered the exact former surface.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:rugged_continent	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	13cf9f7c84a84a04de9225c7195e59f00ef4ccc9	08.Rmd#L334-L344	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:662 returns 'log_gdp_std ~ 0 + cid + rugged_std_c' with no family. The pre-Quarto historical book revision contains the exact continent-intercept formula and explicitly sets family = gaussian.	Historical BRM formula is 'log_gdp_std ~ 0 + cid + rugged_std_c'. Authoritative formula/likelihood at 08.Rmd#L334-L344 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is rugged.csv, drops missing rgdppc_2000, and derives log_gdp_std,rugged_std_c,cid. Upstream raw schema includes country,rugged,rgdppc_2000,cont_africa; Afghanistan begins rugged=2.518, rgdppc_2000=644.756, cont_africa=0.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:662, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type. Current 09.qmd omits this intermediate component; git history recovered it.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:rugged_nl	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	13cf9f7c84a84a04de9225c7195e59f00ef4ccc9	08.Rmd#L468-L476	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:684 returns 'bf(log_gdp_std ~ 0 + a + b * rugged_std_c, a ~ 0 + cid, b ~ 0 + cid, nl = TRUE)' with no family. The historical book revision contains the exact nonlinear continent-specific intercept/slope formula and explicitly sets family = gaussian.	Historical BRM formula is 'bf(log_gdp_std ~ 0 + a + b * rugged_std_c, a ~ 0 + cid, b ~ 0 + cid, nl = TRUE)'. Authoritative formula/likelihood at 08.Rmd#L468-L476 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is rugged.csv, drops missing rgdppc_2000, and derives log_gdp_std,rugged_std_c,cid. Upstream raw schema includes country,rugged,rgdppc_2000,cont_africa; Afghanistan begins rugged=2.518, rgdppc_2000=644.756, cont_africa=0.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:684, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:tulips_additive	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	08.qmd#L778-L797	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:718 returns 'blooms_std ~ 1 + water_cent + shade_cent' with no family. The book states blooms_std_i ~ Normal(mu_i,sigma) and explicitly sets family = gaussian for the additive model.	Historical BRM formula is 'blooms_std ~ 1 + water_cent + shade_cent'. Authoritative formula/likelihood at 08.qmd#L778-L797 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is tulips.csv and derives blooms/max(blooms), centered water and shade. Upstream schema is bed,water,shade,blooms; first rows are bed a, water 1, shade 1/2, blooms 0.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:718, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:tulips_interaction	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	08.qmd#L838-L846	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:737 returns 'blooms_std ~ 1 + water_cent + shade_cent + water_cent:shade_cent' with no family. The exact interaction model explicitly sets family = gaussian.	Historical BRM formula is 'blooms_std ~ 1 + water_cent + shade_cent + water_cent:shade_cent'. Authoritative formula/likelihood at 08.qmd#L838-L846 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is tulips.csv and derives blooms/max(blooms), centered water and shade. Upstream schema is bed,water,shade,blooms; first rows are bed a, water 1, shade 1/2, blooms 0.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:737, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:ucbadmit_beta_binomial	beta_binomial	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	12.qmd#L154-L217	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:929 returns 'admit | vint(applications) ~ 0 + gid' with no family. The book states admit_i ~ BetaBinomial(n_i,pbar_i,phi), defines beta_binomial2_lpmf via beta_binomial_lpmf, and fits the exact vint(applications) formula with family = beta_binomial2.	Historical BRM formula is 'admit | vint(applications) ~ 0 + gid'. Authoritative formula/likelihood at 12.qmd#L154-L217 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is UCBadmit.csv. Upstream schema is row,dept,applicant.gender,admit,reject,applications; first data row is dept A male with 512 admits,313 rejects,825 applications. The extra row-number column is parsed from the CSV.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:929, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The custom likelihood implementation and exact formula explicitly recover beta-binomial; vint(applications) alone was not treated as family evidence.
mcelreath:kline_contact	poisson	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	11.qmd#L1351-L1377	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:988 returns 'bf(total_tools ~ a + b * log_pop_std, a + b ~ 0 + cid, nl = TRUE)' with no family. The matching contact-index nonlinear count model states y_i ~ Poisson(lambda_i) and explicitly sets family = poisson.	Historical BRM formula is 'bf(total_tools ~ a + b * log_pop_std, a + b ~ 0 + cid, nl = TRUE)'. Authoritative formula/likelihood at 11.qmd#L1351-L1377 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is Kline.csv and derives log_pop_std and cid from contact. Upstream schema is culture,population,contact,total_tools,mean_TU; Malekula begins 1100,low,13,3.2 and Tikopia 1500,low,22,4.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:988, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares poisson; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:kline_power	poisson	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	11.qmd#L1495-L1527	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:1007 returns 'bf(total_tools ~ exp(a) * population^b / g, a + b ~ 0 + cid, g ~ 1, nl = TRUE)' with no family. The exact power-law tools model states total_tools ~ Poisson(lambda_i) and explicitly sets family = poisson(link = identity).	Historical BRM formula is 'bf(total_tools ~ exp(a) * population^b / g, a + b ~ 0 + cid, g ~ 1, nl = TRUE)'. Authoritative formula/likelihood at 11.qmd#L1495-L1527 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM loader is Kline.csv and derives log_pop_std and cid from contact. Upstream schema is culture,population,contact,total_tools,mean_TU; Malekula begins 1100,low,13,3.2 and Tikopia 1500,low,22,4.7.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:1007, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares poisson; dataset evidence only confirms the example identity and was not used as sole family evidence.
mcelreath:cafe	gaussian	explicit-family-recovery	high	https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse_2_ed; https://github.com/rmcelreath/rethinking	df64d9cb8d50ac850ce24cb277e95ccb88fad0a8	14.qmd#L200-L208;14.qmd#L304-L314	2026-07-28T22:54:31Z	200	Historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:1202 returns 'wait ~ 1 + afternoon + (1 + afternoon | cafe)' with no family. The café model states wait_i ~ Normal(mu_i,sigma) and explicitly sets family = gaussian.	Historical BRM formula is 'wait ~ 1 + afternoon + (1 + afternoon | cafe)'. Authoritative formula/likelihood at 14.qmd#L200-L208;14.qmd#L304-L314 is the same model up to documented renaming, centering, or generated-column crosswalk.	BRM constructs cafe/afternoon/wait with MersenneTwister(14); the authoritative chapter simulates the same wait,afternoon,cafe structure. Exact generated values are not upstream data and were not used to infer family.	Searched historical BRM 05c3f465e7987e8d7caa7e214fedddd90415a922:scripts/examples/mcelreath.jl:1202, the cited rethinking data surface, current upstream book code, and git history. The BRM row itself has blank family metadata and cites only data; no family was inferred from brms defaults, response names, titles, or dataset type.	The authoritative book/repository explicitly declares gaussian; dataset evidence only confirms the example identity and was not used as sole family evidence.
